Name,RA,Dec,Distance,Period
PSR J1901-0907,285.4583,-9.1167,2.42,0.89095
PSR J1807-0847,271.9084,-8.7953,3.61,0.163727361
PSR J1741-0840,265.3439,-8.6757,3.5,2.0430824
PSR J1833-0827,278.418,-8.4585,5.67,0.085282878
PSR J1832-0827,278.1543,-8.451,4.75,0.64727924
PSR J1808-0813,272.0125,-8.2167,5.19,0.87604
PSR J2006-0807,301.568,-8.1173,1.99,0.580871332
PSR J2145-0750,326.4602,-7.8383,0.5,0.016052424
PSR J1804-0735,271.2079,-7.5902,3.1,0.023100855
PSR J1735-0724,263.7707,-7.4145,4.33,0.419334808
PSR J0034-0721,8.537,-7.3648,0.68,0.942950785
PSR J1025-0709,156.375,-7.15,0.35,0.00516221
PSR J1837-0653,279.3111,-6.8846,4.93,1.905808541
PSR J1835-0643,278.7732,-6.718,6.34,0.305821242
PSR J1849-0636,282.2807,-6.6163,3.66,1.451292579
PSR J0151-0635,27.8448,-6.5842,1.93,1.464664452
PSR J1903-0632,285.9174,-6.5336,8.79,0.431884719
PSR J1543-0620,235.8757,-6.3459,1.16,0.709063991
PSR J2347-0612,356.7708,-6.2,1.95,1.18145
PSR J1844-0538,281.0213,-5.6426,6.16,0.255697129
PSR J0034-0534,8.5909,-5.5768,0.98,0.001877182
PSR J0601-0527,90.4958,-5.464,7.54,0.395969057
PSR J1913-0440,288.4757,-4.6799,3.22,0.82593369
PSR J1836-0436,279.2158,-4.6103,4.62,0.354236145
PSR J1845-0434,281.3948,-4.5763,4.72,0.162249414
PSR J1844-0433,281.1394,-4.5535,2.79,0.991025728
PSR J1820-0427,275.2193,-4.4607,2.1,0.598072639
PSR J1834-0426,278.6058,-4.443,2.29,0.290106203
PSR J1841-0425,280.2736,-4.422,5.16,0.186145156
PSR J0624-0424,96.0835,-4.4143,4.39,1.039076046
PSR J2046-0421,311.5005,-4.357,3.83,1.5469375
PSR J1847-0402,281.8451,-4.0373,3.13,0.597760502
PSR J1842-0359,280.6104,-3.9998,4.15,1.839944207
PSR J1801-0357,270.3444,-3.9651,6.66,0.921489585
PSR J0421-0345,65.4875,-3.75,3.09,1.08063
PSR J1833-0338,278.425,-3.6427,5.09,0.686676816
PSR J1743-0337,265.7832,-3.6243,1.79,0.444644291
PSR J1645-0317,251.2585,-3.2995,2.9,0.387688791
PSR J1910-0309,287.6235,-3.1647,10.25,0.504603474
PSR J1844-0244,281.1873,-2.7451,5.99,0.507718547
PSR J1734-0212,263.6904,-2.2094,5.02,0.839386027
PSR J1720-0212,260.2384,-2.2065,5.43,0.477715304
PSR J0459-0210,74.875,-2.1667,0.79,1.1331
PSR J0613-0200,93.4332,-2.0131,2.19,0.003061844
PSR J1823-0154,275.9042,-1.9,4.55,0.75978
PSR J1848-0123,282.0983,-1.3995,3.8,0.659430591
PSR J2248-0101,342.1333,-1.0167,2.28,0.477239
PSR J1905-0056,286.3649,-0.942,6.78,0.643175497
PSR J1837-0048,279.475,-0.8,2.48,0.61705
PSR J1945-0040,296.3682,-0.6827,3.4,1.04563236
PSR J1607-0032,241.8005,-0.5445,0.59,0.421816272
PSR J2005-0016,301.3333,-0.2667,2.77,1.1398
PSR J1834-0010,278.5719,-0.1804,2.63,0.520954308
PSR J1728-0007,262.145,-0.1297,2.21,0.386005064
PSR J1904+0004,286.0375,0.0667,6.43,0.139525
PSR J1825+0004,276.3138,0.0725,2.22,0.778949125
PSR J1910+0004,287.5983,0.0821,4.1,0.003618524
PSR J1909+0007,287.3969,0.1327,3.26,1.016945458
PSR J1919+0021,289.961,0.3612,3.33,1.272255732
PSR J1901+00,285.3833,0.4333,8.16,0.77767
PSR J1929+00,292.3667,0.4333,1.74,1.166912
PSR J1852+0031,283.115,0.5322,8.4,2.180173287
PSR J1808+00,272.0792,0.5667,10.29,0.425114
PSR J1844+00,281.0458,0.5833,6.65,0.460505
PSR J1859+00,284.9417,0.5833,8.59,0.559629
PSR J2139+00,324.925,0.6,2.97,0.31247
PSR J1857+0057,284.2534,0.9546,2.64,0.356928988
PSR J1856+0113,284.0453,1.2224,3.3,0.267398841
PSR J1903+0135,285.8749,1.5939,4.4,0.729301633
PSR J1901+0156,285.3928,1.9442,2.93,0.288218511
PSR J0823+0159,125.7907,1.9869,1.43,0.864872752
PSR J1518+0204B,229.641,2.0827,7,0.007946941
PSR J1518+0205A,229.6388,2.0911,7,0.005553593
PSR J1857+0212,284.4318,2.2115,8.58,0.415814168
PSR J1812+0226,273.2217,2.4496,5.8,0.793901611
PSR J1909+0254,287.4096,2.9142,4.37,0.989827728
PSR J1805+0306,271.2923,3.1086,4.8,0.218711235
PSR J1901+0331,285.3824,3.5184,8.03,0.655449231
PSR J1910+0358,287.5378,3.9741,2.9,2.330260471
PSR J0533+04,83.3575,4.0333,6.66,0.963017697
PSR J0051+04,12.75,4.2667,0.75,0.35473178
PSR J1851+0418,282.7637,4.3033,3.13,0.284697
PSR J1926+0431,291.6019,4.5254,3.94,1.074077147
PSR J1908+0457,287.0671,4.9614,9.29,0.846792846
PSR J1908+0500,287.0215,5.0151,4.44,0.291020787
PSR J1950+05,297.7417,5.5833,4.43,0.455934
PSR J1736+05,264.225,5.8,2.81,0.999245
PSR J1823+0550,275.8791,5.8402,3.03,0.752906448
PSR J1902+0556,285.6777,5.9407,3.93,0.74656971
PSR J0837+0610,129.2735,6.1706,0.72,1.273768081
PSR J1902+0615,285.6947,6.2641,10.12,0.673501
PSR J0922+0638,140.5582,6.6394,2.97,0.430619673
PSR J1906+0641,286.6468,6.6842,9.23,0.267274526
PSR J1848+0651,282.2083,6.85,1.84,0.505954908
PSR J1938+0652,294.5,6.8667,0.69,1.12156065
PSR J1811+0702,272.8362,7.0397,2.91,0.461712104
PSR J1822+0705,275.575,7.09,2.55,1.362817103
PSR J1905+0709,286.474,7.1559,5.48,0.648038997
PSR J1910+0714,287.5775,7.2366,3.6,2.712422838
PSR J1901+0716,285.4123,7.2763,5.49,0.643998411
PSR J1902+0723,285.5564,7.3975,3.33,0.487812628
PSR J1908+0734,287.0709,7.5707,0.58,0.212352673
PSR J1614+0737,243.6708,7.6255,1.5,1.206800212
PSR J1915+0738,288.8533,7.6421,1.98,1.542704449
PSR J1713+0747,258.4564,7.7938,1.1,0.004570137
PSR J1807+07,271.925,7.8833,7.66,0.4643
PSR J1915+07,288.7542,7.8833,3.71,2.0588
PSR J1916+07,289.225,7.8833,8.19,0.54218
PSR J1933+07,293.3333,7.8833,8.94,0.437446
PSR J0953+0755,148.2888,7.9266,0.12,0.253065068
PSR J1848+0826,282.1824,8.4433,3.37,0.328664727
PSR J1841+0912,280.4832,9.2021,2.49,0.381318881
PSR J1908+0916,287.2448,9.2704,5.17,0.830269885
PSR J1543+0929,235.9118,9.488,2.46,0.748448404
PSR J1913+0935,288.4712,9.5868,4.2,1.241964
PSR J1857+0943,284.4016,9.7215,0.9,0.0053621
PSR J1916+0951,289.1348,9.8573,2.9,0.270254107
PSR J0946+0951,146.5304,9.8659,0.98,1.09770364
PSR J1022+10,155.7375,10.0167,0.6,0.01645293
PSR J1904+1005,286.0099,10.0754,4.06,1.85657
PSR J1915+1009,288.874,10.1642,5.37,0.404537859
PSR J1645+1012,251.3934,10.2045,3.27,0.410860719
PSR J0625+10,96.4375,10.2667,3.36,0.498397
PSR J1941+1026,295.3847,10.4404,8.61,0.905393888
PSR J1916+1030,289.0488,10.5148,7.55,0.628969721
PSR J1912+1035,288.2164,10.5857,4.15,0.409338
PSR J0631+1036,97.8649,10.6161,6.56,0.287749748
PSR J1834+10,278.6125,10.7333,3.18,1.172719
PSR J1947+10,296.9,10.7333,13.83,1.110959
PSR J1854+1051,283.6139,10.8475,12.19,0.572341
PSR J1932+1059,293.0579,10.9922,0.17,0.226517821
PSR J1909+1102,287.4529,11.0342,4.29,0.283640004
PSR J0525+1115,81.4852,11.2553,7.68,0.354437595
PSR J1914+1122,288.5422,11.3677,3.44,0.600997496
PSR J1951+1123,297.7844,11.3903,1.66,5.094083028
PSR J1953+1149,298.4478,11.8285,12.51,0.851890277
PSR J1537+1155,234.2915,11.9323,0.68,0.03790444
PSR J2129+1209G,322.4915,12.1659,10,0.037660167
PSR J2129+1209H,322.4924,12.1665,10,0.006743394
PSR J2129+1209D,322.4928,12.1666,10,0.004802804
PSR J2129+1210B,322.4943,12.1668,10,0.056133034
PSR J2129+1210A,322.4927,12.167,10,0.110664709
PSR J2129+1210F,322.4882,12.1675,10,0.004027043
PSR J2129+1210E,322.4924,12.1691,10,0.004651435
PSR J2130+1210C,322.505,12.1773,10,0.030529295
PSR J1910+1231,287.5566,12.5279,6.75,1.4417374
PSR J1300+1240,195.0127,12.6825,0.62,0.006218532
PSR J1907+1247,286.7845,12.779,7.24,0.827096
PSR J1851+1259,282.8051,12.9935,3.51,1.205299467
PSR J1933+1307,293.323,13.1089,7.31,0.928325
PSR J1901+1306,285.4532,13.1134,3.53,1.830857453
PSR J1740+1311,265.0307,13.1993,4.77,0.803049716
PSR J1916+1312,289.2446,13.2138,6.15,0.281842034
PSR J1930+1316,292.5039,13.2698,8.28,0.760031968
PSR J1850+1335,282.6478,13.5997,3.08,0.345581452
PSR J1917+1353,289.4158,13.8992,4.07,0.194630124
PSR J1913+1400,288.3515,14.0148,5.06,0.521472223
PSR J2124+1407,321.194,14.1221,2.08,0.694053227
PSR J1952+1411,298.0079,14.1795,3.26,0.275044
PSR J2116+1414,319.0573,14.2392,4.43,0.440152955
PSR J0659+1414,104.9505,14.2393,0.76,0.384885026
PSR J1921+1419,290.3508,14.3211,4.09,0.61817973
PSR J1627+1419,246.8282,14.3224,2.84,0.49085673
PSR J1926+1434,291.7385,14.5819,7.72,1.32492186
PSR J2317+1439,349.2885,14.6587,1.89,0.003445251
PSR J2205+1444,331.3219,14.742,3.33,0.938014228
PSR J1918+1444,289.6093,14.7488,1.55,1.180883665
PSR J1909+1450,287.3623,14.8494,4.94,0.996107795
PSR J1844+1454,281.2286,14.9039,2.21,0.375462508
PSR J2235+1506,338.9321,15.1136,1.15,0.059767358
PSR J2253+1516,343.3106,15.2772,2.81,0.79223592
PSR J1859+1526,284.935,15.4364,4.76,0.933971582
PSR J1931+1536,292.9442,15.6072,5.54,0.314351
PSR J1936+1536,294.0063,15.61,8.4,0.96733837
PSR J2215+1538,333.9152,15.643,3.12,0.374195893
PSR J2046+1540,311.6641,15.6757,2.52,1.138285607
PSR J1918+1541,289.5321,15.6876,0.68,0.370882999
PSR J1136+1551,174.0137,15.8502,0.27,1.187911536
PSR J1915+1606,288.8667,16.1076,7.13,0.059029998
PSR J1935+1616,293.9493,16.2779,7.94,0.358736248
PSR J0943+1631,145.8752,16.5265,1.68,1.087417725
PSR J2002+1637,300.699,16.6213,6.1,0.276497484
PSR J1915+1647,288.8298,16.7859,3.31,1.616231284
PSR J1926+1648,291.6889,16.8092,7.75,0.579811896
PSR J1923+1706,290.8358,17.0977,6.06,0.547209
PSR J1821+17,275.3792,17.2833,7.15,1.3662
PSR J2033+17,308.3375,17.6,1.38,0.005948958
PSR J0633+1746,98.4751,17.7699,0,0.23709323
PSR J1935+1747,293.8883,17.7782,9.5,0.654408
PSR J1942+1747,295.506,17.7853,9.24,0.696261
PSR J1944+1757,296.1223,17.9547,8.82,1.996898
PSR J1911+1758,287.9808,17.9794,2.54,0.460405819
PSR J1946+1805,296.721,18.0949,0.85,0.440618476
PSR J0751+1807,117.7882,18.1274,2.02,0.003478771
PSR J1312+1810,198.229,18.169,18.9,0.033163166
PSR J0006+1834,1.52,18.5831,0.7,0.69374767
PSR J1945+1835,296.4153,18.5893,12.51,1.068707
PSR J1929+1846,292.2949,18.7683,5.21,1.2204686
PSR J1906+1854,286.6863,18.9024,11.07,1.019092771
PSR J1927+1855,291.8022,18.9188,10.12,0.482765
PSR J1927+1856,291.9147,18.936,4.4,0.298312
PSR J1909+1859,287.3275,18.9863,3.4,0.542451096
PSR J1926+1926,291.6161,19.4346,28.65,1.34601
PSR J0304+1932,46.138,19.5474,0.94,1.387584345
PSR J2037+1942,309.3106,19.7151,2.05,2.074377078
PSR J1921+1948,290.2659,19.8125,8.19,0.821034604
PSR J1921+2006,290.462,20.0961,3.58,0.760682
PSR J1922+2018,290.5777,20.301,10.64,1.172761
PSR J1932+2020,293.0335,20.3462,9.14,0.268216854
PSR J1843+20,280.85,20.45,6.3,3.406572
PSR J1924+2040,291.1678,20.6676,10.74,0.237790138
PSR J1959+2048,299.9032,20.8042,1.53,0.001607402
PSR J2322+2057,350.5931,20.9508,0.78,0.004808428
PSR J1912+2104,288.1807,21.0762,4.81,2.232963534
PSR J1549+2110,237.4167,21.1667,2.33,1.26247122
PSR J1922+2110,290.7231,21.1784,12.51,1.077919155
PSR J2234+2114,338.736,21.2386,3.38,1.358745313
PSR J1939+2134,294.9107,21.5831,3.6,0.001557806
PSR J2027+2145,306.8143,21.7491,10.11,0.3981726
PSR J2317+2149,349.4908,21.8306,1.4,1.444652675
PSR J1720+2150,260.0054,21.8372,3.59,1.615663629
PSR J1921+2153,290.4367,21.8838,0.66,1.337301192
PSR J1238+21,189.5875,21.9,1.77,1.11836
PSR J0528+2200,82.2181,22.0001,2.27,3.74552134
PSR J0534+2200,83.6332,22.0145,2,0.033403347
PSR J2055+2209,313.9131,22.1577,2.11,0.81518068
PSR J1932+2220,293.0945,22.349,9.8,0.144455311
PSR J1640+2224,250.0698,22.4025,1.18,0.003163316
PSR J1917+2224,289.4325,22.4081,6.88,0.425906
PSR J1903+2225,285.9706,22.4201,7.86,0.651185384
PSR J2307+2225,346.922,22.4306,0.38,0.535828895
PSR J2030+2228,307.6685,22.4727,4.75,0.630512103
PSR J0614+2229,93.5713,22.4995,4.72,0.334925054
PSR J1927+2234,291.7837,22.5826,9.3,1.431066414
PSR J2139+2242,324.8625,22.7111,4.71,1.083513482
PSR J1946+2244,296.6037,22.7498,7.09,1.334449858
PSR J1246+22,191.6583,22.8833,1.77,0.47383
PSR J0943+22,145.8542,22.9333,2.39,0.532913
PSR J0543+2329,85.7902,23.485,3.54,0.245974089
PSR J0927+23,141.9042,23.7833,2.52,0.761886
PSR J1752+2359,268.1471,23.9969,2.7,0.409050725
PSR J0629+2415,97.2738,24.2616,4.67,0.476622654
PSR J1635+2418,248.8574,24.3133,2.09,0.490506485
PSR J1933+2422,293.275,24.3588,4.6,0.81368
PSR J2019+2425,304.8831,24.4209,0.91,0.003934524
PSR J1939+2450,294.8072,24.8323,5.1,0.645277
PSR J1239+2453,189.9186,24.897,0.56,1.382449257
PSR J2008+2513,302.1478,25.2251,3.22,0.589195503
PSR J2015+2524,303.8029,25.4087,0.69,2.303299082
PSR J1912+2525,288.0776,25.4173,2.02,0.621976245
PSR J1649+2533,252.4342,25.5519,2.91,1.015257276
PSR J1746+2540,266.5275,25.6767,4.16,1.058147957
PSR J1937+2544,294.2553,25.7371,2.76,0.200980131
PSR J1946+2611,296.6909,26.197,7.78,0.435060255
PSR J2156+2618,329.0988,26.3085,4.71,0.498149073
PSR J0826+2637,126.7138,26.6238,0.38,0.530660798
PSR J2229+2643,337.462,26.7327,1.43,0.002977819
PSR J1920+2650,290.1599,26.8442,1.44,0.785521838
PSR J1652+2651,253.0125,26.8611,2.93,0.915803367
PSR J2043+2740,310.9313,27.6822,1.13,0.0961305
PSR J0947+27,146.8417,27.7,2.33,0.85105
PSR J0435+27,68.8917,27.7333,3.43,0.3262793
PSR J1532+2745,233.0429,27.764,0.97,1.124835521
PSR J1742+27,265.5083,27.8833,3.7,1.360744
PSR J2113+27,318.475,27.9,1.71,0.601422
PSR J2113+2754,318.2684,27.9007,1.37,1.20285115
PSR J1741+2758,265.4729,27.9692,2.16,1.360737311
PSR J0538+2817,84.6044,28.2864,1.77,0.143157739
PSR J2018+2839,304.516,28.6651,1.1,0.557953407
PSR J2022+2854,305.6545,28.9065,1.3,0.34340172
PSR J1955+2908,298.8662,29.1455,5.39,0.006133166
PSR J2222+29,335.7083,29.3833,4.47,0.281398
PSR J1954+2923,298.5941,29.3883,0.42,0.426676786
PSR J2212+2933,333.0974,29.5516,4.76,1.004592375
PSR J1758+30,269.6375,30.4167,2.88,0.947256
PSR J1931+30,292.7958,30.5833,3.03,0.582219
PSR J2002+30,300.7417,30.5833,7.42,0.421792
PSR J1900+30,285.075,30.8833,4.56,0.602224
PSR J2305+3100,346.4931,31.0005,3.93,1.575884744
PSR J2004+3137,301.2179,31.6195,8.93,2.111256083
PSR J2002+3217,300.5183,32.2884,6.67,0.696738329
PSR J0754+3231,118.6697,32.5324,3.92,1.442349447
PSR J1952+3252,298.2429,32.8779,2.5,0.039529759
PSR J0048+3412,12.1416,34.2022,3.68,1.217093529
PSR J1948+3540,297.1043,35.6698,7.86,0.717306765
PSR J0417+35,64.4292,35.7333,2.6,0.653998
PSR J2037+3621,309.3647,36.3565,4.97,0.618713654
PSR J1641+3627A,250.4203,36.4543,7.7,0.010377509
PSR J1641+3627B,250.4218,36.4601,7.7,0.003528
PSR J2055+3630,313.8806,36.5059,5.56,0.221508034
PSR J0612+3721,93.2027,37.3603,1.47,0.297982308
PSR J2029+3744,307.3495,37.7361,6.9,1.216800773
PSR J2013+3845,303.2937,38.7624,13.09,0.230190827
PSR J0323+3944,50.8609,39.7481,1.47,3.032071906
PSR J0156+3949,29.2285,39.8249,4.85,1.811560563
PSR J1907+4002,286.8949,40.035,1.71,1.235757228
PSR J1813+4013,273.3055,40.2277,4.32,0.931087849
PSR J2157+4017,329.2576,40.2961,5.53,1.525265369
PSR J2002+4050,300.6835,40.8485,7.93,0.905066252
PSR J0218+4232,34.5265,42.5382,5.85,0.00232309
PSR J2313+4253,348.2857,42.8869,0.96,0.34943364
PSR J2108+4441,317.0853,44.6969,5.29,0.414870534
PSR J0335+4555,53.8193,45.9314,2.08,0.26920054
PSR J2044+46,311.2417,46.2481,26.56,1.392715447
PSR J2113+4644,318.3512,46.7357,5,1.014684902
PSR J0502+4654,75.519,46.9017,1.78,0.63856532
PSR J2305+4707,346.4827,47.1293,4.35,1.066371072
PSR J0014+4746,3.5739,47.7759,1.84,1.240698978
PSR J2219+4754,334.9506,47.915,2.45,0.538469248
PSR J0056+4756,14.1027,47.9375,1,0.472035621
PSR J1518+4904,229.5692,49.0764,0.7,0.040934988
PSR J1115+5030,168.9098,50.5038,0.54,1.65643808
PSR J2023+5037,305.9248,50.6263,1.8,0.372618768
PSR J1955+5059,298.8287,50.9984,1.78,0.518937413
PSR J0055+5117,13.9391,51.2902,2.35,2.115168225
PSR J2022+5154,305.7079,51.9139,1.22,0.529197379
PSR J1754+5201,268.5954,52.0202,3.56,2.391396309
PSR J0357+5236,59.4367,52.616,4.72,0.197030035
PSR J2150+5247,327.6573,52.7971,5.67,0.332204527
PSR J1012+5307,153.1393,53.1174,0.52,0.005255749
PSR J0343+5312,55.8039,53.2145,2.58,1.934474676
PSR J2038+5319,309.5138,53.3201,13.83,1.424567909
PSR J0358+5413,59.7238,54.2204,2.07,0.156381949
PSR J0332+5434,53.2473,54.5787,1.43,0.714518664
PSR J1509+5531,227.3572,55.5258,1.93,0.739681266
PSR J0454+5543,73.5318,55.7281,0.79,0.34072913
PSR J2308+5547,347.0577,55.7934,2.43,0.475067592
PSR J1840+5640,280.1858,56.6821,1.69,1.652861809
PSR J2046+5708,311.6945,57.1437,8.53,0.476728762
PSR J0040+5716,10.1349,57.2735,4.32,1.118224461
PSR J0139+5814,24.8324,58.2422,2.89,0.272449792
PSR J2257+5909,344.4905,59.1542,6.4,0.368245626
PSR J0117+5914,19.4113,59.2438,2.14,0.101438375
PSR J0147+5922,26.9361,59.3676,1.91,0.196321251
PSR J0141+6009,25.4164,60.159,1.9,1.222948267
PSR J2304+60,346,60.2667,6.75,1.2064037
PSR J2321+6024,350.4799,60.4085,3.22,2.256487867
PSR J2326+6113,351.7446,61.2268,4.82,0.233651931
PSR J0406+6138,61.6252,61.6447,3.04,0.59457358
PSR J2337+6151,354.2741,61.8505,2.47,0.495278785
PSR J2354+6155,358.5196,61.9297,3.29,0.944782449
PSR J2229+6205,337.4246,62.0933,5.56,0.443053827
PSR J0157+6212,29.4583,62.2075,1.59,2.351723832
PSR J0921+6254,140.3086,62.9039,0.76,1.567992903
PSR J2325+6316,351.3058,63.2827,10.64,1.436308479
PSR J2149+6329,327.4941,63.4954,13.64,0.380140345
PSR J0700+6418,105.1575,64.3031,0.48,0.195670945
PSR J2225+6535,336.4682,65.5927,2,0.68253746
PSR J0102+6537,15.6371,65.6203,2.45,1.679163564
PSR J0108+6608,17.0915,66.1423,1.63,1.283652926
PSR J0108+6905,17.123,69.0979,2.53,1.071118094
PSR J2242+6950,340.7356,69.8478,2.3,1.66449928
PSR J0415+6954,63.9816,69.9027,1.56,0.390715065
PSR J0231+7026,37.8084,70.4427,2.26,1.466819343
PSR J0814+7429,123.7477,74.4849,0.31,1.292241436
PSR J0849+8028,132.2537,80.4828,3.38,1.602227824
PSR J0653+8051,103.3119,80.8666,3.02,1.214439657
PSR J1321+8323,200.443,83.3942,0.77,0.670037394
